,,,1,A Furlong Too Late,6.6,91,2 oz Light rum,4 oz Ginger beer,1 twist of Lemon peel
5420,Apricot Breeze,9.3,6,1 oz Vodka,3 oz Apricot nectar,Fill with Tonic water,,,
5421,Schwimmer,8.5,6,1/2 oz Sambuca,1/4 oz Kahlua,1/4 oz Bailey's irish cream,1/8 oz Butterscotch schnapps,1/8 oz Jägermeister,
5422,Splurge,7.8,4,1 glass Surge,1/2 shot Lemon juice,1-2 tblsp Sugar,1-2 shot Vodka,,
5423,Big Booty Shake,8.1,14,1 cup Milk,1/2 tsp Vanilla extract,3/4 cup Chocolate ice-cream,1 1/2 oz Southern Comfort,,
5424,Green Voodoo,5.2,4,1 oz Melon liqueur,1 oz Malibu rum,1 splash Triple sec,1 splash Sweet and sour,1 shot Sprite,
5425,Banana Russian,8.9,7,1 1/2 oz Vanilla vodka,1/2 oz Creme de Banane,Fill with Half-and-half,,,
5426,Bird of Paradise,7.8,31,1 shot Vodka,Fill with Orange juice,1 splash Grenadine,,,
5427,Coconut Pie,6.5,51,1 shot Malibu rum,1 shot Kahlua,Fill with very cold Milk,,,
5428,Haus Special,8.1,10,2 shots Blackberry schnapps,1/3 glass Cranberry juice,Fill with Grape juice,,,
5429,The Usual,5.2,4,1 part Ketel One Vodka,1 part Vya Sweet Vermouth,2 cubes Ice,1 slice Lemon,,
5430,Guapo,9.3,13,5-6 oz Coffee,1 oz Bailey's irish cream,1 oz Kahlua,2 splashes Butterscotch schnapps,,
5431,Homemade Southern Comfort,10.0,2,1 1/2 lb Peach,1 cup Sugar,4 strips Lemon peel,2 cups Bourbon,,
5432,Mandarine Summertime,6.0,2,2 cl Mandarine Napoleon,2 cl dry Gin,1 dash Grenadine,2 cubes Ice,,
5433,Mandarine Passion,5.0,2,2 cl Mandarine Napoleon,2 cl dry Gin,2 cubes Ice,,,
5434,Napotonic,10.0,1,3 cl Mandarine Napoleon,Fill with Schweppes Tonic water,,,,
5435,Mandarine Bourbon,5.0,2,1 part Mandarine Napoleon,2 parts Bourbon,,,,
5436,Imperial Moka,2.0,1,"3 parts strong, ice cold Coffee",2 parts Mandarine Napoleon,1 part Cognac,1 tsp Sugar,,
5437,Midori Green Russian,7.5,6,1 1/2 oz Midori melon liqueur,1 1/2 oz Vodka,,,,
5438,Midori Sour,6.2,535,1 oz Midori melon liqueur,2 oz Sweet and sour,,,,
5439,Midori Mimosa,7.9,8,1 oz Midori melon liqueur,1/3 oz Sweet and sour,4 oz Champagne,,,
5440,Delicias de la Habana,1.0,1,1/2 oz Midori melon liqueur,1/2 oz Blue Curacao,1 oz Rum,1 oz Peach nectar,1/2 oz Coconut cream,
5441,Crocodile Cooler,6.4,44,1 oz Midori melon liqueur,1 1/2 oz Vodka,2/3 oz Triple sec,2 oz Sweet and sour,Fill with 7-Up,
5442,Orange Kiss,10.0,2,4 cl Vodka,4 cl Cinzano Orancio,5-6 cl Sprite,,,
5443,Tropical Heat,3.0,2,2 cl Gin,2 cl Cinzano Orancio,1 dash Malibu rum,,,
5444,Orancio Royal,8.0,1,2 cl Cinzano Orancio,Brut Champagne,,,,
5445,Black and Blue,6.8,20,1 part Blue Curacao,1 part Blavod vodka,,,,
5446,Asphalt Road,7.0,3,1 shot Lime juice cordial,1 shot Irish cream,1 shot Blavod vodka,,,
5447,Ario Bomb,8.3,3,1 1/2 oz Blavod vodka,1/2 oz Grenadine,Fill Cola,,,
5448,Dirty Mop,5.5,2,1/2 oz Blavod vodka,1/2 oz Blue Curacao,1/2 oz Passoa,1 1/2 oz Orange juice,1 1/2 oz Cranberry juice,
5449,Bellini,6.7,89,1 medium ripe Peach,4-6 oz Italian dry Sparkling white wine,,,,
5450,Bombay Bellini,8.0,2,1 splash Mango,4-6 oz Champagne,,,,
5451,Hummingbird #2,6.5,97,1 oz Rum cream liqueur,1 oz Tia maria,1 oz Milk,1/2 oz Strawberry syrup,1/2 Banana,Crushed Ice
5452,RumBubble,6.5,2,2 oz Rum,1 1/2 oz Triple sec,1 dash Aftershock,4 oz Club soda,,
5453,Tahitian Treat,8.9,10,1 oz Bacardi Limon,1 oz Amaretto,4 oz Cranberry juice,Fill with Sprite,,
5454,The Seminole,8.3,24,3/4 oz Goldschlager,1/4 oz Grenadine,,,,
5455,Amaretto Stone Sweet,7.2,323,2 1/2 oz Amaretto,2 oz Cherry syrup,4 oz Orange juice,4 oz 7-Up,,
5456,Kurant Collins,6.2,76,2 oz Absolut Kurant,1 oz Lemon juice,1 tsp Powdered sugar,3 oz Club soda,,
5457,Tampico,7.5,8,1 oz Cointreau,1 1/2 oz Campari,1 oz Lemon juice,Fill with Tonic water,,
5458,Pink Ranger,8.5,10,1 oz Vodka,1/2 oz Coconut rum,1/2 oz Peachtree schnapps,1 splash Cranberry juice,1 splash Pineapple juice,
5459,After Eighteen,5.7,146,2 oz Kahlua,2 oz White Creme de Menthe,Fill with Chocolate milk,,,
5460,Absolute Heaven,7.1,189,1 1/2 oz Absolut Mandrin,Fill Pineapple juice,1 splash Cranberry juice,,,
5461,Swervin Mervin,9.0,21,1/4 oz Rum,1/4 oz Gin,1/4 oz Vodka,1/4 oz Triple sec,1/4 oz Midori melon liqueur,
5462,Flaming Ale,7.2,8,1 oz Vodka,1/2 oz Midori melon liqueur,1/2 oz Triple sec,Fill with Ginger ale,1 tblsp Grenadine,
5463,Wonder Woman,8.5,13,2 oz Midori melon liqueur,2 oz Peach schnapps,3 oz Orange juice,1 oz Pineapple juice,2 oz Cranberry juice,
5464,Montana Tornado,7.8,5,5 shots Vodka,5 shots Jack Daniels,5 shots Gin,5 shots Tequila,5 oz 7-Up,
5465,The Equator,7.5,4,1/2 oz Peach schnapps,1/2 oz White rum,,,,
5466,Fluorescent Dream,8.2,5,1 shot Cointreau,1 shot Amaretto,Top with Lemonade,,,
5467,The Army John,8.1,11,4 oz Southern Comfort,12 oz Orange juice,1 splash Triple sec,1 wedge Lime,,
5468,Tropical Lullaby,6.8,6,1/2 oz Bailey's irish cream,3/4 oz Butterscotch schnapps,3/4 oz Malibu rum,3/4 oz Pineapple juice,,
5469,Kentucky Hot Tub,6.3,10,1/2 oz Jim Beam,1/2 oz Cointreau,1/4 oz Blue Curacao,3-6 drops Tabasco sauce,,
5470,Hot Scott,9.3,13,15 ml Cinnamon schnapps,15 ml Kahlua,,,,
5471,Pink Fizzy,8.5,13,1 part Watermelon schnapps,1 part Sprite,,,,
5472,Italian Surfer,6.7,68,2 parts Pineapple juice,1 part Amaretto,1 part Malibu rum,,,
5473,Hybris,7.5,4,3 cl Cointreau,3 cl Apricot brandy,,,,
5474,Nutty Belgian,7.0,4,1 oz White chocolate liqueur,1 oz Frangelico,1/2 oz Vodka,,,
5475,Double Chocolate,10.0,1,1/2 oz White chocolate liqueur,1/2 oz Creme de Cacao,,,,
5476,Arctic Kiss,8.4,19,2 oz Vodka,Fill with 3 oz Champagne,,,,
5478,French Cosmopolitan,9.0,21,1 oz Absolut Citron,1/2 oz Grand Marnier,1/2 oz Sweet and sour,1/2 oz Cranberry juice,1/4 oz Lime juice,1 drop Grenadine
5479,Jager Vacation,9.0,10,1 oz Jägermeister,2 oz Pineapple juice,2 oz Pina colada mix,,,
5480,Four Twenty,5.2,5,2 parts Vodka,1 part Sprite,1 part White wine,,,
5481,Mudskipper,7.8,10,1 oz dry Gin,10 oz Ginger ale,1 splash Chocolate syrup,,,
5482,Liquid Bubble Gum,5.8,24,3 oz Vodka,3 oz Peach schnapps,6 oz Cola,,,
5483,Pumpkin pie (tavern style),6.6,71,2 parts Kahlua,1 part Bailey's irish cream,1 part Goldschlager,,,
5484,Irish Pirate,6.8,4,1 part Spiced rum,1 part Irish Mist,,,,
5485,Southern Bound Meteor,7.2,4,1 Cherry,1/2 oz Southern Comfort,1/2 oz Goldschlager,Float 1 splash 151 proof rum,,
5486,A Little Green Man From Mars,6.4,110,1 mint green Maraschino cherry,1/2 oz Jägermeister,1/2 oz Rumple Minze,,,
5487,Buried Under An Avalanche,9.7,3,1 small Ice,1/2 oz Ouzo,1/2 oz Rumple Minze,,,
5488,Equity's Darling,8.0,5,1 oz Creme de Banane,Fill with Pineapple juice,,,,
5489,Sweet Candy Apple,6.4,10,3/4 oz Southern Comfort,3/4 oz Amaretto,3/4 oz Midori melon liqueur,1/2 oz Grenadine,2 splashes Sour mix,
5490,The Admiral's Passion,6.8,104,1 part Passoa,1 part Sprite,1 part Orange juice,3 Ice,,
5491,Black and Blue #2,6.4,289,1 oz Blackberry schnapps,2 oz Blue Curacao,2 oz Vodka,,,
5492,Warsaw Waffle,6.3,792,1 part Maple syrup,3 parts Vodka,,,,
5493,Liquid Snickers,8.1,20,1 oz Dark Creme de Cacao,1/2 oz Irish cream,1/2 oz Frangelico,1/2 oz Light cream,,
5494,Straight Jacket,5.7,3,2 shots Aftershock,1 shot Passoa,Fill with Orange juice,,,
5495,Up all night,6.4,390,1 can Red Bull,1 shot Jägermeister,,,,
5496,Devil's Advocate,8.9,11,1 shot Bacardi Limon,1 shot Triple sec,3/4 oz Sour mix,1 tblsp Grenadine,4 oz Cranberry juice,
5498,Sneaky Wesley,7.8,8,2/3 shot Kahlua,1/3 shot Bailey's irish cream,1/3 shot Triple sec,Fill with Chocolate milk,,
5499,Butter Nut Scotch,6.8,8,1 oz Scotch,1 oz Butterscotch schnapps,1 oz Amaretto,,,
5500,Scottalian,8.0,8,1 1/2 oz Scotch,1 oz Amaretto,1 oz Triple sec,1 oz Lemon juice,2 oz Orange juice,1 tsp Grenadine
5501,Tirade,5.8,10,1 oz Triple sec,1/2 oz Tequila,1/2 oz Spiced rum,,,
5502,Pineapple Cocktail,8.6,7,1 shot Light rum,2 shots Pineapple juice,1 shot Lemon juice,1/2 shot Grenadine,,
5503,Fluffy Duck,8.8,13,1 part Advocaat,1 part Creme de Cacao,Fill with 7-Up,Crushed Ice,,
5504,Monk's Butt,9.0,2,1 oz Frangelico,1 oz Butterscotch schnapps,1/4 oz Dark Creme de Cacao,,,
5505,Johnny on the beach,8.3,7,4 cl Vodka,6 cl Orange juice,6 cl Bitter lemon,1 slice Orange,,
5506,Monkey La La,9.6,37,1 oz Vodka,1 oz Kahlua,4 oz Half-and-half,1 scoop Ice-cream,2 oz Cream of coconut,
5507,Russian Sunset,8.7,23,2 oz Vodka,2 oz Triple sec,4 oz Sour mix,1 dash Grenadine,,
5509,Fire Fly,7.0,9,1 1/4 oz Vodka,2 oz Grapefruit juice,1 dash Grenadine,,,
5510,Monkey in a tree,9.7,17,1 1/2 oz Malibu rum,1/2 oz Creme de Banane,1/8 oz Grenadine,Fill with Pineapple juice,Float 1/2 oz Midori melon liqueur,
5511,The Event Horizon,7.0,1,1 scoop mint chocolate chip Ice-cream,1 shot Peppermint schnapps,1 shot Vodka,1 shot Milk,,
5512,My Johnson is Ten Inches Long,8.8,17,1/2 oz Malibu rum,1/2 oz Razzmatazz,1/2 oz Midori melon liqueur,1/4 oz Sweet and sour,1/4 oz Cranberry juice,
5513,Sloughdriver,6.5,6,2 oz Blavod vodka,,,,,
5514,Whiting Sunset,6.5,6,2 oz Vodka,1 oz Tequila,6 oz Orange juice,1 dash Grenadine,,
5515,Breath Stealer,6.9,9,1 part 151 proof rum,2 parts Yukon Jack,2 parts Green Chartreuse,,,
5516,Sid Vicious,5.0,7,2 oz Whiskey,2 oz Gin,1/2 oz Sweet Vermouth,1 dash Bitters,1 dash Worcestershire sauce,
5517,Roxy Special,9.2,4,1 shot Absolut Citron,1 shot Absolut Mandrin,1 shot Sour mix,1 splash Lime juice,Fill with Sprite,
5518,Orange Crisis,8.5,6,2 oz Light rum,2 oz Peach schnapps,1 oz Triple sec,1 oz Apricot brandy,1 oz Cream,1 splash Grenadine
5519,White Ape,6.9,9,1 cup Hot chocolate,1 1/2 oz Bailey's irish cream,1 pinch ground Cinnamon,,,
5520,Screaming Blue Viking,7.3,11,1 part Yukon Jack,1 part Rumple Minze,1 splash Blue Curacao,,,
5521,S.O.B.,8.2,6,1/2 oz Cognac,1/2 oz Cointreau,,,,
5522,Blister,9.5,4,1/4 oz 151 proof rum,1/4 oz Wild Turkey,1/4 oz Blue Curacao,1 splash Pineapple juice,1 splash Orange juice,
5523,Under Current,9.3,28,1 oz Absolut Kurant,1/2 oz Blue Curacao,1/2 oz Sour mix,1/4 oz Sugar syrup,1 splash Sprite,1/4 oz Chambord raspberry liqueur
5524,Vernal Equinox,7.0,4,2 oz Port,1 oz Grand Marnier,1/2 oz Triple sec,,,
5525,Autumnal Equinox,7.0,3,2 oz Port,1 oz Grand Marnier,1/2 oz Amaretto,,,
5526,Shamrock Juice,6.4,12,1 1/2 oz Gin,1 1/2 oz Tequila,1 1/2 oz Rum,1 1/2 oz Vodka,1 1/2 oz Blue Curacao,1 can Orange juice
5527,The Emily Weir,6.4,237,2 parts Apple schnapps,1 part Peach schnapps,1 part Vodka,4 parts Lemonade,,
5528,Johanna,7.5,4,2 parts Absolut Mandrin,1 splash Lime juice cordial,Fill  with Cranberry juice,,,
5529,The Sabino Special,8.6,15,1 oz Midori melon liqueur,1 oz Malibu rum,1 oz Peach schnapps,3 - 4 oz Orange juice,2 tsp Grenadine,
5530,Gingervitas,7.8,6,1 shot Absolut Citron,1 shot Dry Vermouth,3 shots Ginger ale,,,
5531,Chocolate Honeybee,9.7,3,1/2 shot Godiva liqueur,1/2 shot Barenjager,,,,
5532,Vanilla Creamsicle,6.8,8,1 shot Vanilla schnapps,1 shot Triple sec,1 shot Creme de Cacao,Fill with Milk,,
5533,Simple Charm,9.0,21,1 1/2 cl Cognac,1 1/2 cl Kahlua,1 1/2 cl Amaretto,1 cl fresh Cream,,
5534,Island Jack,9.0,6,3/4 oz Banana liqueur,3/4 oz Malibu rum,1/2 oz Jack Daniels,1 oz Pineapple juice,1 oz Sweet and sour,2 oz Coca-Cola
5535,Green Creeper,5.3,10,3/4 oz Absolut Vodka,3/4 oz Midori melon liqueur,3/4 oz Malibu rum,,,
5536,Tequila Screwdriver,5.9,47,1 shot Tequila,Fill with Orange juice,,,,
5537,A Little Dinghy,6.7,96,2 shots Parrot Bay Coconut rum,2 shots Malibu rum,Fill with 1 part Cranberry juice,1 part Pineapple juice,1 part Orange juice,
5538,Alex Chi-Chi,6.6,305,45 ml Vodka,15 ml Cointreau,30 ml Cream of coconut,60 ml Pineapple juice,,
5541,Acapulcos malibu,7.2,109,2 oz Malibu rum,3 oz Mango juice,,,,
5542,Cheshire Cat,8.3,25,1 oz Spiced rum,1 oz Peach schnapps,1 oz Orange juice,,,
5544,Aggie Banana,6.8,88,2 scoops Ice-cream,1 cup whole Milk,2 sliced frozen Banana,1 handful Ice,2 oz Butterscotch schnapps,
5545,Ball Of Fun,4.6,14,1 L Bacardi Limon,1 L Triple sec,1 L Absolut Citron,2 L Fruit punch,5 lb Ice,
5546,Yuppidoo,4.9,7,1 oz Irish cream,1 oz Kahlua,1 oz Galliano,1 oz Vanilla liqueur,1 dash Half-and-half,
5547,Dea Lea,4.8,4,1 oz Absolut Vodka,1 oz Coconut liqueur,1 oz Amaretto,1 oz Vanilla liqueur,,
5549,Freddie's Naughty Neopolitan,8.4,16,1/3 oz Kahlua,1/3 oz white Creme de Cacao,1/3 oz Tequila Rose,,,
5550,George & Ginger,4.8,4,2 oz George Dickel,2 oz Ginger ale,,,,
5551,Poire Fantastic,5.5,2,4 cl Pear liqueur,10 cl Sprite,,,,
5552,Irish Coffee,6.4,188,1 1/2 oz Irish whiskey,1 tsp Brown sugar,6 oz hot Coffee,,,
5553,Sweet Dreams,8.9,12,1 glass Hot chocolate,2 oz Malibu rum,1 handful Marshmallows,1 swirl Whipped cream,Sprinkle Cinnamon,
5554,Nord-Norsk Depresjon,8.7,3,1 cl Cointreau,1 cl Aquavit,2 cl Gin,1 dash Lime juice,Top with Sprite,
5555,Royal Bill,6.0,3,1/2 oz Pear liqueur,Fill with Champagne,1/2 slice Orange,,,
5556,Summit County Suicide,6.8,4,1 part Tequila,1 part Orange juice,1 part Tennessee whiskey,1 part Sprite,1 part Cactus Juice liqueur,
5557,Love Game,6.5,4,Crushed Ice,3/9 Batida de Coco,2/9 Passoa,1/9 Grenadine,,
5558,Southwest Cooler,6.8,4,2 parts Cranberry juice,2 parts Pineapple juice,1 part Cactus Juice liqueur,,,
5559,Romulan Ale #3,10.0,2,1 shot blue Maui,1 shot Cactus Juice liqueur,1 shot Vodka,,,
5560,Pink Pitch,nan,0,2 cl Vodka,4 cl Licor 43,6 cl Milk,1/2 cl Grenadine,,
5561,Nurse,2.8,5,10 cl Absolut Vodka,5 cl Licor 43,2 - 3 Ice,Fill with Root beer,,
5562,Pearl Necklace #2,9.0,2,1/2 oz Butterscotch schnapps,1/2 oz Kahlua,,,,
5563,Red Horn,nan,0,1 shot RedRum,1 pint Cider,,,,
5564,Magic Punch,4.0,1,1 oz Mango juice,1 oz Papaya juice,1 oz Guava juice,4 oz Vodka,,
5565,Flageln,8.8,14,1/4 part Cherry vodka,3/4 part Red Bull,,,,
5566,Tropical Pear Fizz,5.0,3,2 oz Pear liqueur,1 oz RedRum,1/2 oz Apple brandy,1/2 oz Banana liqueur,4 oz 7-Up,
5567,The Lindy,5.7,3,12 oz Surge,2 shots Jägermeister,,,,
5569,Chocolate Orgasm,8.0,8,1 shot Kahlua,1 shot Cherry vodka,2 shots chilled Espresso,4-6 oz Chocolate milk,,
5570,Glitch,8.0,10,2 shots Vodka,1/2 glass Mango juice,1 shot Lemon juice,2 shots Blue Curacao,,
5571,Jaguar,nan,0,1 part Vodka,3 parts Sprite,1 part Banana syrup,,,
5572,Suburban Warhead,5.5,2,2 1/2 oz Vodka,1 oz Aftershock,3 oz Tequila,2 oz Corona,1 can frozen Lemonade,
5573,Italian Soda,8.9,28,2 shots Vanilla vodka,Dill with Ginger ale,,,,
5574,Tijuana Carbomb,4.3,7,1 shot Cuervo Gold rum,1 bottle Corona,,,,
5575,Screaming Chocolate Monkey,7.5,6,1 1/2 oz Malibu rum,3 counts Banana syrup,3 squirts Chocolate syrup,,,
5576,Cloudy Day,9.1,7,2 oz Cuervo Gold tequila,1 bottle Corona,1 wedge Lime,,,
5577,Sexy Blue Eyed Boy,8.4,10,1 oz Blue Curacao,1 oz Vodka,1 oz Creme de Cacao,1 oz Rum cream liqueur,1 scoop Ice-cream,2 cubes Ice
5578,Batman,6.2,9,33 cl Battery,4 cl dry Gin,10 cubes Ice,,,
5579,Big Bad Voodoo Kooler,9.8,5,2 oz Malibu rum,1 oz RedRum,1 oz Midori melon liqueur,2 shots Orange juice,2 shots Pineapple juice,1 splash Soda water
5580,Blue Whip,9.1,25,1 1/2 oz Orange vodka,1 1/4 oz Blue Curacao,Fill 1/2 glass Orange juice,Fill 1/2 glass Sprite,3 slices Orange,
5581,Oasis,6.3,3,6 cl Melon vodka,4 cl Malibu rum,3 cl Pisang Ambon,7 cl Lemon juice,1 splash Cream,
5582,Cranberry Tart,8.3,3,2 parts ice cold Cranberry vodka,3 parts blood Orange juice,Lots of Ice,,,
5583,Double Brit,5.8,4,1 oz Tanqueray Gin,1 oz Single malt Scotch,,,,
5584,Kansas City Ice Water #2,8.3,9,1 oz Raspberry vodka,1 oz Gin,,,,
5586,Dickel & Dew,8.0,7,1 part George Dickel,2 parts Mountain Dew,,,,
5587,South Beach Martini,7.4,7,2 oz Orange vodka,2 oz Absolut Citron,3/4 oz Cointreau,3/4 oz Lime juice,Twist of Orange peel,
5588,Prickly Pear,5.5,2,1 oz chilled Cactus Juice liqueur,1/2 oz Cuervo Tequila,,,,
5590,Madonna,6.0,6,1 shot Cherry vodka,Fill with 7-Up,1 Maraschino cherry,,,
5591,Tangerine Dream,5.0,4,50 ml Mandarine Napoleon,25 ml Tia maria,50 ml fresh Cream,5 cubes Ice,,
5592,Evil Corona,9.2,13,2 oz Absolut Citron,1 bottle Corona,1 wedge Lime,,,
5593,From Russia with Love,8.9,19,1 1/2 oz Raspberry vodka,Fill with 7-Up,Top 1 splash Cranberry juice,,,
5594,Vesper,9.7,44,3 oz dry Gin,1 oz Vodka,1/2 oz Kina Lillet,,,
5595,Beach Sunday,5.5,4,2 oz Peach Vodka,1 oz Chambord raspberry liqueur,3 oz Cranberry juice,Juice of 1/2 Lime,,
5596,Caribbean Milk,7.3,6,1 part Batida de Coco,1 part Malibu rum,2 parts Milk,1 tblsp Vanilla syrup,,
5597,Little Beer,9.2,34,1 oz Licor 43,,,,,
5598,Raspberry Sex,7.4,5,2/3 oz Raspberry vodka,1/3 oz Cranberry juice,1 splash 7-Up,,,
5599,Sweet Summer,7.0,3,3 oz Raspberry vodka,Fill with Ginger ale,1 splash Cranberry juice,Juice of 1 wedge Lemon,,
5600,Ginny's Slammin' Goddess,9.5,2,1 1/2 oz Raspberry vodka,1 oz Chambord raspberry liqueur,1 oz Peach schnapps,3 Ice,Fill with 1 part Orange juice,And 1 part Ruby red Grapefruit juice
5602,Mexican Hillbilly,5.8,10,16 oz Corona,1 shot Jack Daniels,,,,
5603,Chocolate Raspberry Martini,9.0,21,1 1/2 oz Raspberry vodka,1 oz white Creme de Cacao,,,,
5604,Hairy Jerry,nan,0,2 1/2 oz Dark rum,Fill with Papaya juice,,,,
5605,Blue Marlin,8.0,1,1 1/2 oz RedRum,1/2 oz Blue Curacao,Fill with 1 part Sweet and sour,And 1 part Orange juice,,
5606,Pimp,8.8,12,1 handful Ice,2 cl Jägermeister,Fill with Battery,,,
5607,Smoked Martini,8.3,9,1 part Scotch,1 part Vodka,Juice of 1 slice Lemon,,,
5608,The Vibrator,7.6,9,1 oz Raspberry vodka,1 oz Orange vodka,3/4 oz Chambord raspberry liqueur,Fill with Orange juice,And Cranberry juice,
5609,Mandarin Delight,8.6,13,1 1/2 oz Absolut Mandrin,Fill with Tonic water,1 wedge Lime,,,
5610,Becky's Bomber,4.8,8,1 1/2 oz Orange vodka,1 1/2 oz Raspberry vodka,Fill with Cranberry juice,,,
5613,Papaya Driver,6.0,2,2 oz Rum,,,,,
5614,Jamaican Green Sunrise,7.0,5,4 cl Rum,Fill with Orange juice,2 cl Blue Curacao,2 cl Pineapple vodka,,
5615,On My Ass,8.5,15,1 part Cherry vodka,1 part Jack Daniels,1 part Gin,1 part 151 proof rum,,
5617,Raspberry Russian,6.9,11,1 part Stoli Raspberry vodka,1 part Kahlua,,,,
5618,Liquid Sex,3.1,22,3/4 oz Vodka,1 Marshmallows,3 drops red Food coloring,,,
5619,Nightboat to Brasil,8.6,9,1 1/2 oz Cachaca,1/2 oz Cointreau,1/2 oz Lime juice,1/2 oz Batida de Coco,,
5620,Jens Special,8.5,12,6 cl Bacardi Limon,8 cl Sprite,12 cl Red Bull,,,
5621,Nightboat to Recife,8.2,5,1 1/2 oz Cachaca,1/2 oz Triple sec,1/2 oz Lime juice,1/2 oz Batida de Coco,,
5622,Walk the Plank,8.2,10,1 oz Spiced rum,1 oz Malibu rum,1 oz RedRum,Fill with 7-Up,2 Cherries,
5623,Orange Lion,5.7,3,1 shot Absolut Mandrin,1 shot Peachtree schnapps,1 1/2 shot Orange juice,,,
5624,Key Lime Shooter,9.9,22,1 oz Licor 43,1/2 oz White rum,1 oz Sweet and sour,1/4 oz Rose's sweetened lime juice,1/2 oz Half-and-half,
5626,The Mormon Surprise,9.1,11,1 part Vodka,2 1/2 parts White grape juice,Fill with Ginger ale,,,
5628,Cherry Godet,3.0,1,3/4 oz Godet White chocolate liqueur,1/4 oz Cherry brandy,,,,
5630,Strawberry Dream #2,5.6,7,1 1/2 oz Strawberry vodka,1/2 oz Amaretto,Fill with 7-Up,,,
5631,Blue Eye,7.8,6,4 cl Vodka,1 part Battery,1 part Sweet and sour,2 cl Blue Curacao,,
5632,S2C3,8.8,11,4 oz Absolut Mandrin,7 oz Ginger ale,3 oz Cranberry juice,1 splash Grenadine,1 splash Rose's sweetened lime juice,
5633,Stoned,5.0,4,2 cl Jägermeister,2 cl Pear liqueur,6 cl Lemon-lime mix,6 cl Battery,,
5634,Raw Sewage #2,8.9,11,1 1/2 oz RedRum,1 oz Blue Curacao,1 oz Vodka,1 1/2 oz Pineapple juice,1 1/2 oz Orange juice,1 splash Grenadine
5635,Lyndy,8.9,7,50 ml Absolut Mandrin,1 - 2 cup Cranberry juice,,,,
5636,The Ricky Martini,8.2,5,1 oz Absolut Peppar,1 oz Absolut Mandrin,1 splash Cointreau,1 splash Cranberry juice,1 dash Rose's sweetened lime juice,
5637,BMW #2,8.8,23,1/3 oz Bailey's irish cream,1/3 oz Malibu rum,1/3 oz white Creme de Cacao,,,
5638,Tap that Ass,9.0,29,1 oz Cognac,1 oz red Alizé,1 oz yellow Alizé,1 splash Cranberry juice,Top with Soda water,
5639,Flaming Giraffe,8.6,12,2 oz Kahlua,1 oz Butterscotch schnapps,1 oz 151 proof rum,,,
5640,Cactus Juice,6.4,2699,1 oz Tequila,1/2 oz Amaretto,Fill with Sweet and sour,,,
5641,Octapussy,6.4,536,1 oz Sour Apple Pucker,1 oz Sloe gin,1 oz Triple sec,1/2 oz Amaretto,1 1/2 oz Orange juice,1 1/2 oz Sour mix
5642,Summer Splash,2.8,4,1 oz Lemon gin,1 oz Melon liqueur,1 oz Triple sec,3 oz Fruit punch,,
5643,Absolutly Screwed,7.6,124,1/2 oz Orange juice,1/2 oz Absolut Mandrin,,,,
5644,Razzberi Kazi,9.3,10,1 oz Raspberry vodka,1 oz Triple sec,1 oz Sweet and sour,1/2 oz Grenadine,,
5646,Green Weenie,4.0,5,1 bottle Corona,Fill bottle with Margarita mix,,,,
5648,James D,8.0,6,4 oz Fanta,4 oz Sprite,4 oz Bacardi Limon,,,
5649,Liqiud Mintaero,8.9,11,30 ml Creme de Cacao,30 ml White Creme de Menthe,30 ml Kahlua,15 ml Midori melon liqueur,1 handful Ice,150 ml Milk
5650,Amenie Mama,9.4,11,3/4 oz Rye whiskey,1/4 oz Amaretto,,,,
5651,Mexican Clit,6.2,60,1/2 shot Tequila,1/2 shot Lemon juice,,,,
5652,Superjuice,6.2,49,1 shot Vodka,1 shot Gin,2 shots Orange juice,2 shots Tonic water,1 tblsp Lime juice,
5653,Melon Tonic,8.4,8,1 oz Vodka,1 oz Midori melon liqueur,1 dash Lemon juice,1 oz Tonic water,,
5654,Tropical Waters,7.7,7,1 1/2 oz Blue Curacao,1 1/2 oz Melon liqueur,3 oz Sprite,,,
5655,915 Special,6.3,3,1/2 jigger Light rum,1/2 jigger Dark rum,8 oz Passion fruit juice,4 oz Pineapple juice,,
5656,Midnight Oil,7.6,25,1 1/2 oz Amaretto,1/2 oz Jägermeister,,,,
5657,Malibu Snapper,7.5,8,1-2 part Malibu rum,4 parts Kiwi-Strawberry Snapple,,,,
5658,Poontang,6.6,74,1 1/2 shot Vodka,1 shot Triple sec,Add Tang,,,
5659,Kryptonite,6.0,65,1 shot Midori melon liqueur,1/2 shot Rumple Minze,1/2 shot Goldschlager,Layer 1 shot 151 proof rum,,
5660,BLT,6.8,20,1-1/2 oz Bacardi Limon,Fill with Iced tea,,,,
5661,Blue Monkey,6.4,49,1 part Blue Curacao,1 part Coconut rum,1 1/2 part Orange juice,1/2 part Pineapple juice,,
5662,Carolina Kamikaze,7.1,21,1 oz Vodka,1 oz Triple sec,1 oz Lime juice,1/4 oz Blue Curacao,,
5663,The Lady in Red,7.5,8,1/2 oz Peppermint schnapps,1/2 oz Peach schnapps,1/2 oz Vodka,1/2 oz Grenadine,,
5664,Slap Your Mama,7.5,8,1 part Mountain Dew,1 part Orange juice,1 part Spiced rum,,,
5665,Dead Grasshopper,7.1,8,1 part Green Creme de Menthe,1 part white Creme de Cacao,1 part Milk,1 dash Aftershock,,
